name,pdf_url
COMGEST GROWTH EUROPE OPPORTUNITIES EUR DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE USD Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES GBP U DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE SMALLER COMPANIES GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE EUR Z DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE OPPORTUNITIES EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR I FIXED DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE USD ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR FIXED DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST RENAISSANCE EUROPE Z,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/a4a47f58-721d-45eb-bde0-85bb39966fcb.pdf
COMGEST RENAISSANCE EUROPE I,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/a4a47f58-721d-45eb-bde0-85bb39966fcb.pdf
COMGEST RENAISSANCE EUROPE C,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/03/24/19/03/a4a47f58-721d-45eb-bde0-85bb39966fcb.pdf
COMGEST GROWTH EUROPE EX UK GBP U H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK EUR X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK GBP Y DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE EX UK GBP Y ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE EX UK GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK GBP SU DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/bd88f3f1-a79e-4057-b3b8-8e9cd6e49357.pdf
COMGEST GROWTH EUROPE EX UK GBP SU ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK EUR SI DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK EUR SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EX UK GBP SU H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN USD X ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN USD SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN GBP U DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN GBP SU ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN EUR SI ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN USD I ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN GBP U ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH EUROPE EUR R ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN EUR H ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN EUR DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA PAC EX JAPAN USD DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA EUR R ACC,annual_report_does_not_exists
COMGEST GROWTH ASIA EUR I DIS,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
COMGEST GROWTH ASIA EUR Z ACC,https://www.comgest.com/-/media/feature/data/fund-documentation/2021/06/16/14/00/917878b0-11a4-4447-aca0-f9cc54a8ee92.pdf
